"Date","Precip","TMax","TMin"
20120607,15,36.4,24.2
20120608,2,37.8,25.4
20120610,8.9,38.2,23.8
20120617,7.9,32.4,25.2
20120621,0.8,34.6,27
20120622,16,33.1,25.7
20120623,8.9,32,26.4
20120624,1,28.1,25.6
20120625,2,33.2,25
20120626,1,37.2,27.2
20120629,0.5,36.5,26.5
20120709,1,33.4,26.5
20120710,6.1,35.1,25.1
20120714,11.9,34.6,26.4
20120716,8.9,33.8,27.2
20120717,8.9,35,27.5
20120719,42.9,29.7,24.6
20120720,7.1,34.2,25.2
20120721,7.1,32.7,26.1
20120722,17,34.9,26.5
20120723,3,35.2,27.4
20120725,3,34.7,27
20120726,2,34.4,27.2
20120728,9.9,34,25.9
20120730,13,32.4,25.7
20120731,8.9,32.3,25.4
20120801,2,34.6,26.4
20120803,4.1,34.4,27
20120804,19.1,32.2,26.4
20120805,9.9,33.2,26.6
20120806,9.9,33.2,26.1
20120807,10.9,33.5,26
20120808,7.1,32.5,25.3
20120810,41.9,33.4,25.8
20120811,15,32.7,24.6
20120812,9.9,32.6,25.6
20120813,7.1,32.1,25.8
20120814,2,33.5,25.1
20120816,0.3,36.3,27.2
20120818,2,34,25.4
20120819,1,33,27.6
20120822,19.1,33.8,26
20120823,5.1,35.3,27.2
20120825,26.9,33.5,25.6
20120826,6.1,33.6,26
20120827,15,33.8,25.8
20120828,0.5,34.4,26.4
20120904,35.1,27.7,25.2
20120906,37.1,26.6,24.5
20120907,7.9,33.2,24.7
20120909,37.1,32.4,24.7
